Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J2,BTB_60P,BTB_60P_0.4mm,42.0,21.0,0.0,Top
J3,BTB_60P,BTB_60P_0.4mm,42.0,35.0,0.0,Top
J4,JST-GH-6P,JST_GH_6P_1.25mm,15.0,48.0,90.0,Top
J5,JST-GH-6P,JST_GH_6P_1.25mm,30.0,52.0,0.0,Top
J6,JST-GH-4P,JST_GH_4P_1.25mm,42.0,52.0,0.0,Top
J7,HDR_1x3,PinHeader_1x03_P2.54mm,54.0,52.0,0.0,Top
J8,HDR_2x8,PinHeader_2x08_P2.54mm,58.0,28.0,90.0,Top
J9,XT30_2P,XT30_2Pin,8.0,50.0,90.0,Top
U1,USBLC6-2SC6,SOT-23-6,28.0,46.0,0.0,Top
U2,USBLC6-2SC6,SOT-23-6,40.0,46.0,0.0,Top
U3,SGM2036-3.3,SOT-23-5,10.0,38.0,0.0,Top
D3,SMBJ6.0A,D_SMB,12.0,45.0,180.0,Top
FB1,Ferrite_Bead,L_0805,16.0,44.0,90.0,Top
C11,47uF,C_0805,18.0,42.0,0.0,Top
C12,47uF,C_0805,18.0,39.0,0.0,Top
C8,10uF,C_0603,10.0,34.0,0.0,Top
C9,10uF,C_0603,12.0,34.0,0.0,Top
C1,100nF,C_0402,10.0,31.0,0.0,Top
C2,100nF,C_0402,12.0,31.0,0.0,Top
R1,33R,R_0402,28.0,22.0,0.0,Top
R2,33R,R_0402,28.0,24.0,0.0,Top
R3,33R,R_0402,28.0,26.0,0.0,Top
R4,33R,R_0402,28.0,28.0,0.0,Top
R5,33R,R_0402,28.0,30.0,0.0,Top
R6,2.2k,R_0402,34.0,48.0,0.0,Top
R7,2.2k,R_0402,36.0,48.0,0.0,Top
R8,10k,R_0402,24.0,34.0,0.0,Top
R9,10k,R_0402,24.0,36.0,0.0,Top
D1,LED_Green,LED_0603,6.0,40.0,0.0,Top
D2,LED_Green,LED_0603,6.0,35.0,0.0,Top
R12,1k,R_0402,6.0,38.0,0.0,Top
R13,1k,R_0402,6.0,33.0,0.0,Top
J1,Socket_2x20,PinSocket_2x20_P2.54mm,29.0,3.5,0.0,Bottom
